original_item_id,recbole_index
1598510401,1
0982450346,2
0439770831,3
0345500660,4
075666926X,5
0307592790,6
0761136843,7
1594202923,8
1887140840,9
0761142088,10
0062024388,11
1594488053,12
0765327813,13
0312542704,14
0312642830,15
0307717127,16
B004E3XDE4,17
0316101877,18
0399157891,19
0062110969,20
1440533113,21
0547760620,22
1423138562,23
1250000173,24
0062107968,25
0307716546,26
0547634528,27
0061231452,28
0812993292,29
1119975360,30
0345528506,31
1442442913,32
1452107904,33
0312642849,34
0553808087,35
1933615982,36
1590515455,37
1611099110,38
0395977274,39
1611098068,40
1118433076,41
145164485X,42
0385536267,43
0345539478,44
0544114582,45
1413318355,46
1594488223,47
1426211589,48
1118443608,49
1118383273,50
1742204155,51
174321734X,52
1250033470,53
1594486034,54
142621314X,55
038574126X,56
0399167773,57
159420571X,58
1465419535,59
0385534833,60
0761455922,61
1476738963,62
0062273345,63
0544056809,64
0062194046,65
1455554936,66
1632170396,67
1400067693,68
111917371X,69
1119173922,70
081298840X,71
1250059666,72
1101966874,73
0544370139,74
0778319059,75
1627794018,76
0812997271,77
0848745833,78
1250077168,79
1937402983,80
0812989406,81
0545925819,82
1627851224,83
1455541915,84
1633223361,85
0345549538,86
0399592067,87
0553448099,88
1328702278,89
1572842229,90
1250105714,91
0399181849,92
0062225243,93
1465473327,94
0671027905,95
1607749726,96
1616201762,97
0399162704,98
1604690674,99
1948209470,100
1581809646,101
1684220475,102
0930625765,103
0061995363,104
0470191422,105
0061723797,106
0874810418,107
0998636738,108
125062262X,109
0061655554,110
039916975X,111
152382462X,112
0997341521,113
006282015X,114
1542004527,115
0679406832,116
0991243536,117
1503901394,118
1250130441,119
034553686X,120
0679761802,121
0553385526,122
0440245907,123
0141028416,124
0553381555,125
0553385518,126
0439763096,127
1616890851,128
1643136143,129
1984878107,130
0316538388,131
0316196819,132
0385546572,133
0425278867,134
1939754178,135
0385545681,136
1982104864,137
0806116544,138
1250105196,139
1416914633,140
145491131X,141
0385732554,142
1465414185,143
0634083732,144
0848746783,145
0345497600,146
0316014508,147
